date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1652400000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1652486400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1652572800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108634.38},{'peggedUSD': 0},{'peggedUSD': 108634.38}
1652659200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108419.17},{'peggedUSD': 0},{'peggedUSD': 108419.17}
1652745600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108394.88},{'peggedUSD': 0},{'peggedUSD': 108394.88}
1652832000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108433.81},{'peggedUSD': 0},{'peggedUSD': 108433.81}
1652918400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108392.52},{'peggedUSD': 0},{'peggedUSD': 108392.52}
1653004800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108368.64},{'peggedUSD': 0},{'peggedUSD': 108368.64}
1653091200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108398.95},{'peggedUSD': 0},{'peggedUSD': 108398.95}
1653177600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108484.21},{'peggedUSD': 0},{'peggedUSD': 108484.21}
1653264000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108339.85},{'peggedUSD': 0},{'peggedUSD': 108339.85}
1653350400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108324.22},{'peggedUSD': 0},{'peggedUSD': 108324.22}
1653436800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108397.13},{'peggedUSD': 0},{'peggedUSD': 108397.13}
1653523200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108372.05},{'peggedUSD': 0},{'peggedUSD': 108372.05}
1653609600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108547.72},{'peggedUSD': 0},{'peggedUSD': 108547.72}
1653696000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108478.42},{'peggedUSD': 0},{'peggedUSD': 108478.42}
1653782400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108452.9},{'peggedUSD': 0},{'peggedUSD': 108452.9}
1653868800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1653955200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108340.88},{'peggedUSD': 0},{'peggedUSD': 108340.88}
1654041600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108429.68},{'peggedUSD': 0},{'peggedUSD': 108429.68}
1654128000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108387.09},{'peggedUSD': 0},{'peggedUSD': 108387.09}
1654214400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108319.36},{'peggedUSD': 0},{'peggedUSD': 108319.36}
1654300800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108495.97},{'peggedUSD': 0},{'peggedUSD': 108495.97}
1654387200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108360.22},{'peggedUSD': 0},{'peggedUSD': 108360.22}
1654473600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108351.34},{'peggedUSD': 0},{'peggedUSD': 108351.34}
1654560000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108412.1},{'peggedUSD': 0},{'peggedUSD': 108412.1}
1654646400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108352.95},{'peggedUSD': 0},{'peggedUSD': 108352.95}
1654732800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108469.8},{'peggedUSD': 0},{'peggedUSD': 108469.8}
1654819200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1654905600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108482.53},{'peggedUSD': 0},{'peggedUSD': 108482.53}
1654992000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108547.72},{'peggedUSD': 0},{'peggedUSD': 108547.72}
1655078400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108547.72},{'peggedUSD': 0},{'peggedUSD': 108547.72}
1655164800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108492.27},{'peggedUSD': 0},{'peggedUSD': 108492.27}
1655251200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108439.39},{'peggedUSD': 0},{'peggedUSD': 108439.39}
1655337600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108333.45},{'peggedUSD': 0},{'peggedUSD': 108333.45}
1655424000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108498.4},{'peggedUSD': 0},{'peggedUSD': 108498.4}
1655510400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108420.01},{'peggedUSD': 0},{'peggedUSD': 108420.01}
1655596800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108355.08},{'peggedUSD': 0},{'peggedUSD': 108355.08}
1655683200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108391.91},{'peggedUSD': 0},{'peggedUSD': 108391.91}
1655769600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108434.83},{'peggedUSD': 0},{'peggedUSD': 108434.83}
1655856000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108439.39},{'peggedUSD': 0},{'peggedUSD': 108439.39}
1655942400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108302.85},{'peggedUSD': 0},{'peggedUSD': 108302.85}
1656028800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1656115200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108395},{'peggedUSD': 0},{'peggedUSD': 108395}
1656201600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108391.72},{'peggedUSD': 0},{'peggedUSD': 108391.72}
1656288000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108438.98},{'peggedUSD': 0},{'peggedUSD': 108438.98}
1656374400,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108409.97},{'peggedUSD': 0},{'peggedUSD': 108409.97}
1656460800,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108331.06}
1656547200,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108391.55},{'peggedUSD': 0},{'peggedUSD': 108391.55}
1656633600,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108352.23},{'peggedUSD': 0},{'peggedUSD': 108352.23}
1656720000,{'peggedUSD': 108331.06},{'peggedUSD': 0},{'peggedUSD': 108417.08},{'peggedUSD': 0},{'peggedUSD': 108417.08}
1656806400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72985.11},{'peggedUSD': 0},{'peggedUSD': 72985.11}
1656892800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72912.2}
1656979200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72952.17},{'peggedUSD': 0},{'peggedUSD': 72952.17}
1657065600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72894.6},{'peggedUSD': 0},{'peggedUSD': 72894.6}
1657152000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72985.11},{'peggedUSD': 0},{'peggedUSD': 72985.11}
1657238400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 73013.37},{'peggedUSD': 0},{'peggedUSD': 73013.37}
1657324800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72939.39},{'peggedUSD': 0},{'peggedUSD': 72939.39}
1657411200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72903.75},{'peggedUSD': 0},{'peggedUSD': 72903.75}
1657497600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72985.11},{'peggedUSD': 0},{'peggedUSD': 72985.11}
1657584000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72985.11},{'peggedUSD': 0},{'peggedUSD': 72985.11}
1657670400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72985.11},{'peggedUSD': 0},{'peggedUSD': 72985.11}
1657756800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72944.84},{'peggedUSD': 0},{'peggedUSD': 72944.84}
1657843200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72930},{'peggedUSD': 0},{'peggedUSD': 72930}
1657929600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72922.61},{'peggedUSD': 0},{'peggedUSD': 72922.61}
1658016000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72934.77},{'peggedUSD': 0},{'peggedUSD': 72934.77}
1658102400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72909.89},{'peggedUSD': 0},{'peggedUSD': 72909.89}
1658188800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72887.45},{'peggedUSD': 0},{'peggedUSD': 72887.45}
1658275200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72889.36},{'peggedUSD': 0},{'peggedUSD': 72889.36}
1658361600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72970.91},{'peggedUSD': 0},{'peggedUSD': 72970.91}
1658448000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72894.8},{'peggedUSD': 0},{'peggedUSD': 72894.8}
1658534400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72908.76},{'peggedUSD': 0},{'peggedUSD': 72908.76}
1658620800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72926.95},{'peggedUSD': 0},{'peggedUSD': 72926.95}
1658707200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72902.48},{'peggedUSD': 0},{'peggedUSD': 72902.48}
1658793600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72958.93},{'peggedUSD': 0},{'peggedUSD': 72958.93}
1658880000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72917.77},{'peggedUSD': 0},{'peggedUSD': 72917.77}
1658966400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72895.83},{'peggedUSD': 0},{'peggedUSD': 72895.83}
1659052800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72916.82},{'peggedUSD': 0},{'peggedUSD': 72916.82}
1659139200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72911.97},{'peggedUSD': 0},{'peggedUSD': 72911.97}
1659225600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72912.2}
1659312000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72953.9},{'peggedUSD': 0},{'peggedUSD': 72953.9}
1659398400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72902.91},{'peggedUSD': 0},{'peggedUSD': 72902.91}
1659484800,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72912.6},{'peggedUSD': 0},{'peggedUSD': 72912.6}
1659571200,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72919.38},{'peggedUSD': 0},{'peggedUSD': 72919.38}
1659657600,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72914.09},{'peggedUSD': 0},{'peggedUSD': 72914.09}
1659744000,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72899.12},{'peggedUSD': 0},{'peggedUSD': 72899.12}
1659830400,{'peggedUSD': 72912.2},{'peggedUSD': 0},{'peggedUSD': 72938.92},{'peggedUSD': 0},{'peggedUSD': 72938.92}
