date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 273635.29},{'peggedUSD': 0},{'peggedUSD': 273813.99},{'peggedUSD': 0},{'peggedUSD': 273813.99}
1609459200,{'peggedUSD': 273709.5},{'peggedUSD': 0},{'peggedUSD': 274117.49},{'peggedUSD': 0},{'peggedUSD': 274117.49}
1609545600,{'peggedUSD': 273759.5},{'peggedUSD': 0},{'peggedUSD': 273617.9},{'peggedUSD': 0},{'peggedUSD': 273617.9}
1609632000,{'peggedUSD': 272959.46},{'peggedUSD': 0},{'peggedUSD': 273669.5},{'peggedUSD': 0},{'peggedUSD': 273669.5}
1609718400,{'peggedUSD': 209825.14},{'peggedUSD': 0},{'peggedUSD': 209104.17},{'peggedUSD': 0},{'peggedUSD': 209104.17}
1609804800,{'peggedUSD': 230240.55},{'peggedUSD': 0},{'peggedUSD': 225841.65},{'peggedUSD': 0},{'peggedUSD': 225841.65}
1609891200,{'peggedUSD': 333522.65},{'peggedUSD': 0},{'peggedUSD': 333511.75},{'peggedUSD': 0},{'peggedUSD': 333511.75}
1609977600,{'peggedUSD': 460844.98},{'peggedUSD': 0},{'peggedUSD': 460963.75},{'peggedUSD': 0},{'peggedUSD': 460963.75}
1610064000,{'peggedUSD': 461468.84},{'peggedUSD': 0},{'peggedUSD': 463236.52},{'peggedUSD': 0},{'peggedUSD': 463236.52}
1610150400,{'peggedUSD': 467315.1},{'peggedUSD': 0},{'peggedUSD': 467966.84},{'peggedUSD': 0},{'peggedUSD': 467966.84}
1610236800,{'peggedUSD': 471322.77},{'peggedUSD': 0},{'peggedUSD': 470687.18},{'peggedUSD': 0},{'peggedUSD': 470687.18}
1610323200,{'peggedUSD': 498482.78},{'peggedUSD': 0},{'peggedUSD': 499367.51},{'peggedUSD': 0},{'peggedUSD': 499367.51}
1610409600,{'peggedUSD': 1062755.51},{'peggedUSD': 0},{'peggedUSD': 1066725.51},{'peggedUSD': 0},{'peggedUSD': 1066725.51}
1610496000,{'peggedUSD': 1058609.42},{'peggedUSD': 0},{'peggedUSD': 1061851.54},{'peggedUSD': 0},{'peggedUSD': 1061851.54}
1610582400,{'peggedUSD': 1129156.23},{'peggedUSD': 0},{'peggedUSD': 1131789.51},{'peggedUSD': 0},{'peggedUSD': 1131789.51}
1610668800,{'peggedUSD': 1209243.24},{'peggedUSD': 0},{'peggedUSD': 1213745.93},{'peggedUSD': 0},{'peggedUSD': 1213745.93}
1610755200,{'peggedUSD': 1201551.27},{'peggedUSD': 0},{'peggedUSD': 1203594.39},{'peggedUSD': 0},{'peggedUSD': 1203594.39}
1610841600,{'peggedUSD': 1215827.22},{'peggedUSD': 0},{'peggedUSD': 1216368.99},{'peggedUSD': 0},{'peggedUSD': 1216368.99}
1610928000,{'peggedUSD': 1222338.58},{'peggedUSD': 0},{'peggedUSD': 1219547.26},{'peggedUSD': 0},{'peggedUSD': 1219547.26}
1611014400,{'peggedUSD': 1232935.5},{'peggedUSD': 0},{'peggedUSD': 1232406.67},{'peggedUSD': 0},{'peggedUSD': 1232406.67}
1611100800,{'peggedUSD': 1173755.43},{'peggedUSD': 0},{'peggedUSD': 1167219.45},{'peggedUSD': 0},{'peggedUSD': 1167219.45}
1611187200,{'peggedUSD': 1193689.45},{'peggedUSD': 0},{'peggedUSD': 1195506.66},{'peggedUSD': 0},{'peggedUSD': 1195506.66}
1611273600,{'peggedUSD': 1371224.79},{'peggedUSD': 0},{'peggedUSD': 1373129.97},{'peggedUSD': 0},{'peggedUSD': 1373129.97}
1611360000,{'peggedUSD': 1560628.71},{'peggedUSD': 0},{'peggedUSD': 1562797.05},{'peggedUSD': 0},{'peggedUSD': 1562797.05}
1611446400,{'peggedUSD': 1679761.56},{'peggedUSD': 0},{'peggedUSD': 1679204.08},{'peggedUSD': 0},{'peggedUSD': 1679204.08}
1611532800,{'peggedUSD': 3791431.45},{'peggedUSD': 0},{'peggedUSD': 3794490.1},{'peggedUSD': 0},{'peggedUSD': 3794490.1}
1611619200,{'peggedUSD': 4066962.64},{'peggedUSD': 0},{'peggedUSD': 4063058.27},{'peggedUSD': 0},{'peggedUSD': 4063058.27}
1611705600,{'peggedUSD': 4511388.94},{'peggedUSD': 0},{'peggedUSD': 4510790.43},{'peggedUSD': 0},{'peggedUSD': 4510790.43}
1611792000,{'peggedUSD': 4585560.95},{'peggedUSD': 0},{'peggedUSD': 4588084.71},{'peggedUSD': 0},{'peggedUSD': 4588084.71}
1611878400,{'peggedUSD': 4796358.87},{'peggedUSD': 0},{'peggedUSD': 4761558.99},{'peggedUSD': 0},{'peggedUSD': 4761558.99}
1611964800,{'peggedUSD': 4564310.97},{'peggedUSD': 0},{'peggedUSD': 4554252.58},{'peggedUSD': 0},{'peggedUSD': 4554252.58}
1612051200,{'peggedUSD': 4585861.77},{'peggedUSD': 0},{'peggedUSD': 4569833.13},{'peggedUSD': 0},{'peggedUSD': 4569833.13}
1612137600,{'peggedUSD': 4598902.9},{'peggedUSD': 0},{'peggedUSD': 4586379.8},{'peggedUSD': 0},{'peggedUSD': 4586379.8}
1612224000,{'peggedUSD': 4800035},{'peggedUSD': 0},{'peggedUSD': 4791288.62},{'peggedUSD': 0},{'peggedUSD': 4791288.62}
1612310400,{'peggedUSD': 4800498.46},{'peggedUSD': 0},{'peggedUSD': 4795574.3},{'peggedUSD': 0},{'peggedUSD': 4795574.3}
1612396800,{'peggedUSD': 5872045.93},{'peggedUSD': 0},{'peggedUSD': 5870141.6},{'peggedUSD': 0},{'peggedUSD': 5870141.6}
1612483200,{'peggedUSD': 6046496.51},{'peggedUSD': 0},{'peggedUSD': 6016985.03},{'peggedUSD': 0},{'peggedUSD': 6016985.03}
1612569600,{'peggedUSD': 6463674.65},{'peggedUSD': 0},{'peggedUSD': 6469938.96},{'peggedUSD': 0},{'peggedUSD': 6469938.96}
1612656000,{'peggedUSD': 6500521.3},{'peggedUSD': 0},{'peggedUSD': 6504322.11},{'peggedUSD': 0},{'peggedUSD': 6504322.11}
1612742400,{'peggedUSD': 6570174.49},{'peggedUSD': 0},{'peggedUSD': 6541845.89},{'peggedUSD': 0},{'peggedUSD': 6541845.89}
1612828800,{'peggedUSD': 6112093.8},{'peggedUSD': 0},{'peggedUSD': 6125852.17},{'peggedUSD': 0},{'peggedUSD': 6125852.17}
1612915200,{'peggedUSD': 5165724.65},{'peggedUSD': 0},{'peggedUSD': 5173744.37},{'peggedUSD': 0},{'peggedUSD': 5173744.37}
1613001600,{'peggedUSD': 3373560.52},{'peggedUSD': 0},{'peggedUSD': 3362692.91},{'peggedUSD': 0},{'peggedUSD': 3362692.91}
1613088000,{'peggedUSD': 2981147.92},{'peggedUSD': 0},{'peggedUSD': 2971856.4},{'peggedUSD': 0},{'peggedUSD': 2971856.4}
1613174400,{'peggedUSD': 2507454.81},{'peggedUSD': 0},{'peggedUSD': 2505189.08},{'peggedUSD': 0},{'peggedUSD': 2505189.08}
1613260800,{'peggedUSD': 2505292.35},{'peggedUSD': 0},{'peggedUSD': 2503679.47},{'peggedUSD': 0},{'peggedUSD': 2503679.47}
1613347200,{'peggedUSD': 2483955.58},{'peggedUSD': 0},{'peggedUSD': 2474935.34},{'peggedUSD': 0},{'peggedUSD': 2474935.34}
1613433600,{'peggedUSD': 2479505.08},{'peggedUSD': 0},{'peggedUSD': 2477879.38},{'peggedUSD': 0},{'peggedUSD': 2477879.38}
1613520000,{'peggedUSD': 2498355.88},{'peggedUSD': 0},{'peggedUSD': 2502065.05},{'peggedUSD': 0},{'peggedUSD': 2502065.05}
1613606400,{'peggedUSD': 2419052.41},{'peggedUSD': 0},{'peggedUSD': 2416820.48},{'peggedUSD': 0},{'peggedUSD': 2416820.48}
1613692800,{'peggedUSD': 2210561.74},{'peggedUSD': 0},{'peggedUSD': 2215084.63},{'peggedUSD': 0},{'peggedUSD': 2215084.63}
1613779200,{'peggedUSD': 2080858.49},{'peggedUSD': 0},{'peggedUSD': 2091359.05},{'peggedUSD': 0},{'peggedUSD': 2091359.05}
1613865600,{'peggedUSD': 2173925.32},{'peggedUSD': 0},{'peggedUSD': 2192979.14},{'peggedUSD': 0},{'peggedUSD': 2192979.14}
1613952000,{'peggedUSD': 2926326.16},{'peggedUSD': 0},{'peggedUSD': 2933946.37},{'peggedUSD': 0},{'peggedUSD': 2933946.37}
1614038400,{'peggedUSD': 2758275.21},{'peggedUSD': 0},{'peggedUSD': 2773649.83},{'peggedUSD': 0},{'peggedUSD': 2773649.83}
1614124800,{'peggedUSD': 2818810.37},{'peggedUSD': 0},{'peggedUSD': 2835716.16},{'peggedUSD': 0},{'peggedUSD': 2835716.16}
1614211200,{'peggedUSD': 1949241.41},{'peggedUSD': 0},{'peggedUSD': 1958920.99},{'peggedUSD': 0},{'peggedUSD': 1958920.99}
1614297600,{'peggedUSD': 1970688.54},{'peggedUSD': 0},{'peggedUSD': 1956252.81},{'peggedUSD': 0},{'peggedUSD': 1956252.81}
1614384000,{'peggedUSD': 2100962.56},{'peggedUSD': 0},{'peggedUSD': 2115686.34},{'peggedUSD': 0},{'peggedUSD': 2115686.34}
1614470400,{'peggedUSD': 1990379.18},{'peggedUSD': 0},{'peggedUSD': 2008460.65},{'peggedUSD': 0},{'peggedUSD': 2008460.65}
1614556800,{'peggedUSD': 2124627.64},{'peggedUSD': 0},{'peggedUSD': 2118753.55},{'peggedUSD': 0},{'peggedUSD': 2118753.55}
1614643200,{'peggedUSD': 1917365.6},{'peggedUSD': 0},{'peggedUSD': 1922358.17},{'peggedUSD': 0},{'peggedUSD': 1922358.17}
1614729600,{'peggedUSD': 1951341.61},{'peggedUSD': 0},{'peggedUSD': 1963367.08},{'peggedUSD': 0},{'peggedUSD': 1963367.08}
1614816000,{'peggedUSD': 1866053.5},{'peggedUSD': 0},{'peggedUSD': 1860274.42},{'peggedUSD': 0},{'peggedUSD': 1860274.42}
1614902400,{'peggedUSD': 1833771.18},{'peggedUSD': 0},{'peggedUSD': 1851246.17},{'peggedUSD': 0},{'peggedUSD': 1851246.17}
1614988800,{'peggedUSD': 2013689.93},{'peggedUSD': 0},{'peggedUSD': 2022711.46},{'peggedUSD': 0},{'peggedUSD': 2022711.46}
1615075200,{'peggedUSD': 2162668.49},{'peggedUSD': 0},{'peggedUSD': 2162765.7},{'peggedUSD': 0},{'peggedUSD': 2162765.7}
