date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 174163.26},{'peggedUSD': 0},{'peggedUSD': 174163.26},{'peggedUSD': 0},{'peggedUSD': 174163.26}
1652400000,{'peggedUSD': 174163.26},{'peggedUSD': 0},{'peggedUSD': 174163.26},{'peggedUSD': 0},{'peggedUSD': 174163.26}
1652486400,{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167163.26}
1652572800,{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167196.69},{'peggedUSD': 0},{'peggedUSD': 167196.69}
1652659200,{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167209.49},{'peggedUSD': 0},{'peggedUSD': 167209.49}
1652745600,{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167209.49},{'peggedUSD': 0},{'peggedUSD': 167209.49}
1652832000,{'peggedUSD': 167163.26},{'peggedUSD': 0},{'peggedUSD': 167196.49},{'peggedUSD': 0},{'peggedUSD': 167196.49}
1652918400,{'peggedUSD': 162963.51},{'peggedUSD': 0},{'peggedUSD': 163036.18},{'peggedUSD': 0},{'peggedUSD': 163036.18}
1653004800,{'peggedUSD': 164066.04},{'peggedUSD': 0},{'peggedUSD': 164148.27},{'peggedUSD': 0},{'peggedUSD': 164148.27}
1653091200,{'peggedUSD': 164066.04},{'peggedUSD': 0},{'peggedUSD': 164148.27},{'peggedUSD': 0},{'peggedUSD': 164148.27}
1653177600,{'peggedUSD': 164066.04},{'peggedUSD': 0},{'peggedUSD': 164081.44},{'peggedUSD': 0},{'peggedUSD': 164081.44}
1653264000,{'peggedUSD': 164066.04},{'peggedUSD': 0},{'peggedUSD': 164137.73},{'peggedUSD': 0},{'peggedUSD': 164137.73}
1653350400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159578.01},{'peggedUSD': 0},{'peggedUSD': 159578.01}
1653436800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159578.01},{'peggedUSD': 0},{'peggedUSD': 159578.01}
1653523200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159573.92},{'peggedUSD': 0},{'peggedUSD': 159573.92}
1653609600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159565.7},{'peggedUSD': 0},{'peggedUSD': 159565.7}
1653696000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159603.17},{'peggedUSD': 0},{'peggedUSD': 159603.17}
1653782400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159574.79},{'peggedUSD': 0},{'peggedUSD': 159574.79}
1653868800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159617.43},{'peggedUSD': 0},{'peggedUSD': 159617.43}
1653955200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159610.37},{'peggedUSD': 0},{'peggedUSD': 159610.37}
1654041600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159610.37},{'peggedUSD': 0},{'peggedUSD': 159610.37}
1654128000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159591.81},{'peggedUSD': 0},{'peggedUSD': 159591.81}
1654214400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159662.47},{'peggedUSD': 0},{'peggedUSD': 159662.47}
1654300800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159601.46},{'peggedUSD': 0},{'peggedUSD': 159601.46}
1654387200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159588.26},{'peggedUSD': 0},{'peggedUSD': 159588.26}
1654473600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159617.43},{'peggedUSD': 0},{'peggedUSD': 159617.43}
1654560000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159606},{'peggedUSD': 0},{'peggedUSD': 159606}
1654646400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159606},{'peggedUSD': 0},{'peggedUSD': 159606}
1654732800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159649.17},{'peggedUSD': 0},{'peggedUSD': 159649.17}
1654819200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159706.25},{'peggedUSD': 0},{'peggedUSD': 159706.25}
1654905600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159633.48},{'peggedUSD': 0},{'peggedUSD': 159633.48}
1654992000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159621.35},{'peggedUSD': 0},{'peggedUSD': 159621.35}
1655078400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159668.02},{'peggedUSD': 0},{'peggedUSD': 159668.02}
1655164800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159609.87},{'peggedUSD': 0},{'peggedUSD': 159609.87}
1655251200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159615.59},{'peggedUSD': 0},{'peggedUSD': 159615.59}
1655337600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159635.39},{'peggedUSD': 0},{'peggedUSD': 159635.39}
1655424000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159712.22},{'peggedUSD': 0},{'peggedUSD': 159712.22}
1655510400,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159620.73},{'peggedUSD': 0},{'peggedUSD': 159620.73}
1655596800,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159595.05},{'peggedUSD': 0},{'peggedUSD': 159595.05}
1655683200,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159648.99},{'peggedUSD': 0},{'peggedUSD': 159648.99}
1655769600,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159563.13},{'peggedUSD': 0},{'peggedUSD': 159563.13}
1655856000,{'peggedUSD': 159553.7},{'peggedUSD': 0},{'peggedUSD': 159577.34},{'peggedUSD': 0},{'peggedUSD': 159577.34}
1655942400,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134385.87},{'peggedUSD': 0},{'peggedUSD': 134385.87}
1656028800,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134284.76},{'peggedUSD': 0},{'peggedUSD': 134284.76}
1656115200,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134282.31},{'peggedUSD': 0},{'peggedUSD': 134282.31}
1656201600,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134323.47},{'peggedUSD': 0},{'peggedUSD': 134323.47}
1656288000,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134310},{'peggedUSD': 0},{'peggedUSD': 134310}
1656374400,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134316.13},{'peggedUSD': 0},{'peggedUSD': 134316.13}
1656460800,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134332.65},{'peggedUSD': 0},{'peggedUSD': 134332.65}
1656547200,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134302.76},{'peggedUSD': 0},{'peggedUSD': 134302.76}
1656633600,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134414.08},{'peggedUSD': 0},{'peggedUSD': 134414.08}
1656720000,{'peggedUSD': 134283.28},{'peggedUSD': 0},{'peggedUSD': 134377.72},{'peggedUSD': 0},{'peggedUSD': 134377.72}
1656806400,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133989.09},{'peggedUSD': 0},{'peggedUSD': 133989.09}
1656892800,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133953.19},{'peggedUSD': 0},{'peggedUSD': 133953.19}
1656979200,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133927.97}
1657065600,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133999.18},{'peggedUSD': 0},{'peggedUSD': 133999.18}
1657152000,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 134025.15},{'peggedUSD': 0},{'peggedUSD': 134025.15}
1657238400,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133965.74},{'peggedUSD': 0},{'peggedUSD': 133965.74}
1657324800,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133950.19},{'peggedUSD': 0},{'peggedUSD': 133950.19}
1657411200,{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133927.97},{'peggedUSD': 0},{'peggedUSD': 133927.97}
1657497600,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115916.79},{'peggedUSD': 0},{'peggedUSD': 115916.79}
1657584000,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115916.79},{'peggedUSD': 0},{'peggedUSD': 115916.79}
1657670400,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115945.99},{'peggedUSD': 0},{'peggedUSD': 115945.99}
1657756800,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115858.92},{'peggedUSD': 0},{'peggedUSD': 115858.92}
1657843200,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115872.92},{'peggedUSD': 0},{'peggedUSD': 115872.92}
1657929600,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115872.92},{'peggedUSD': 0},{'peggedUSD': 115872.92}
1658016000,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115873.73},{'peggedUSD': 0},{'peggedUSD': 115873.73}
1658102400,{'peggedUSD': 115870.51},{'peggedUSD': 0},{'peggedUSD': 115852.95},{'peggedUSD': 0},{'peggedUSD': 115852.95}
1658188800,{'peggedUSD': 130227.02},{'peggedUSD': 0},{'peggedUSD': 130197.41},{'peggedUSD': 0},{'peggedUSD': 130197.41}
1658275200,{'peggedUSD': 130227.02},{'peggedUSD': 0},{'peggedUSD': 130214},{'peggedUSD': 0},{'peggedUSD': 130214}
1658361600,{'peggedUSD': 130227.02},{'peggedUSD': 0},{'peggedUSD': 130258.94},{'peggedUSD': 0},{'peggedUSD': 130258.94}
1658448000,{'peggedUSD': 130227.02},{'peggedUSD': 0},{'peggedUSD': 130259.08},{'peggedUSD': 0},{'peggedUSD': 130259.08}
1658534400,{'peggedUSD': 130227.02},{'peggedUSD': 0},{'peggedUSD': 130239.25},{'peggedUSD': 0},{'peggedUSD': 130239.25}
1658620800,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124237.7},{'peggedUSD': 0},{'peggedUSD': 124237.7}
1658707200,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124238.37},{'peggedUSD': 0},{'peggedUSD': 124238.37}
1658793600,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124227.02}
1658880000,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124273.2},{'peggedUSD': 0},{'peggedUSD': 124273.2}
1658966400,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124229.47},{'peggedUSD': 0},{'peggedUSD': 124229.47}
1659052800,{'peggedUSD': 124227.02},{'peggedUSD': 0},{'peggedUSD': 124232.99},{'peggedUSD': 0},{'peggedUSD': 124232.99}
1659139200,{'peggedUSD': 119227.02},{'peggedUSD': 0},{'peggedUSD': 119227.78},{'peggedUSD': 0},{'peggedUSD': 119227.78}
1659225600,{'peggedUSD': 119227.02},{'peggedUSD': 0},{'peggedUSD': 119227.02},{'peggedUSD': 0},{'peggedUSD': 119227.02}
1659312000,{'peggedUSD': 110732.06},{'peggedUSD': 0},{'peggedUSD': 110734.38},{'peggedUSD': 0},{'peggedUSD': 110734.38}
1659398400,{'peggedUSD': 110732.06},{'peggedUSD': 0},{'peggedUSD': 110719.94},{'peggedUSD': 0},{'peggedUSD': 110719.94}
1659484800,{'peggedUSD': 110732.06},{'peggedUSD': 0},{'peggedUSD': 110741.71},{'peggedUSD': 0},{'peggedUSD': 110741.71}
1659571200,{'peggedUSD': 110732.06},{'peggedUSD': 0},{'peggedUSD': 110799.61},{'peggedUSD': 0},{'peggedUSD': 110799.61}
1659657600,{'peggedUSD': 110732.06},{'peggedUSD': 0},{'peggedUSD': 110735.32},{'peggedUSD': 0},{'peggedUSD': 110735.32}
1659744000,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100066.3},{'peggedUSD': 0},{'peggedUSD': 100066.3}
1659830400,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100066.3},{'peggedUSD': 0},{'peggedUSD': 100066.3}
1659916800,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100069.11},{'peggedUSD': 0},{'peggedUSD': 100069.11}
1660003200,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100058.85},{'peggedUSD': 0},{'peggedUSD': 100058.85}
1660089600,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100059.72},{'peggedUSD': 0},{'peggedUSD': 100059.72}
1660176000,{'peggedUSD': 100064.72},{'peggedUSD': 0},{'peggedUSD': 100054.72},{'peggedUSD': 0},{'peggedUSD': 100054.72}
1660262400,{'peggedUSD': 100564.86},{'peggedUSD': 0},{'peggedUSD': 100561.8},{'peggedUSD': 0},{'peggedUSD': 100561.8}
1660348800,{'peggedUSD': 100564.86},{'peggedUSD': 0},{'peggedUSD': 100564.87},{'peggedUSD': 0},{'peggedUSD': 100564.87}
1660435200,{'peggedUSD': 100564.86},{'peggedUSD': 0},{'peggedUSD': 100564.86},{'peggedUSD': 0},{'peggedUSD': 100564.86}
1660521600,{'peggedUSD': 102564.86},{'peggedUSD': 0},{'peggedUSD': 102549.87},{'peggedUSD': 0},{'peggedUSD': 102549.87}
1660608000,{'peggedUSD': 102564.86},{'peggedUSD': 0},{'peggedUSD': 102554.01},{'peggedUSD': 0},{'peggedUSD': 102554.01}
1660694400,{'peggedUSD': 102639.41},{'peggedUSD': 0},{'peggedUSD': 102657.81},{'peggedUSD': 0},{'peggedUSD': 102657.81}
1660780800,{'peggedUSD': 102639.41},{'peggedUSD': 0},{'peggedUSD': 102646.8},{'peggedUSD': 0},{'peggedUSD': 102646.8}
1660867200,{'peggedUSD': 102639.41},{'peggedUSD': 0},{'peggedUSD': 102639.41},{'peggedUSD': 0},{'peggedUSD': 102639.41}
1660953600,{'peggedUSD': 102639.41},{'peggedUSD': 0},{'peggedUSD': 102641.86},{'peggedUSD': 0},{'peggedUSD': 102641.86}
1661040000,{'peggedUSD': 102834.87},{'peggedUSD': 0},{'peggedUSD': 102835.44},{'peggedUSD': 0},{'peggedUSD': 102835.44}
1661126400,{'peggedUSD': 102834.87},{'peggedUSD': 0},{'peggedUSD': 102825.4},{'peggedUSD': 0},{'peggedUSD': 102825.4}
1661212800,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102730.87},{'peggedUSD': 0},{'peggedUSD': 102730.87}
1661299200,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102724.96}
1661385600,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102738.29},{'peggedUSD': 0},{'peggedUSD': 102738.29}
1661472000,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102723.27},{'peggedUSD': 0},{'peggedUSD': 102723.27}
1661558400,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102720.73},{'peggedUSD': 0},{'peggedUSD': 102720.73}
1661644800,{'peggedUSD': 102724.96},{'peggedUSD': 0},{'peggedUSD': 102734.41},{'peggedUSD': 0},{'peggedUSD': 102734.41}
1661731200,{'peggedUSD': 102812.45},{'peggedUSD': 0},{'peggedUSD': 102814.93},{'peggedUSD': 0},{'peggedUSD': 102814.93}
1661817600,{'peggedUSD': 102812.45},{'peggedUSD': 0},{'peggedUSD': 102811.62},{'peggedUSD': 0},{'peggedUSD': 102811.62}
1661904000,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98453.3},{'peggedUSD': 0},{'peggedUSD': 98453.3}
1661990400,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.93},{'peggedUSD': 0},{'peggedUSD': 98448.93}
1662076800,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59}
1662163200,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59}
1662249600,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98448.59}
1662336000,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98484.75},{'peggedUSD': 0},{'peggedUSD': 98484.75}
1662422400,{'peggedUSD': 98448.59},{'peggedUSD': 0},{'peggedUSD': 98439.93},{'peggedUSD': 0},{'peggedUSD': 98439.93}
1662508800,{'peggedUSD': 97969.76},{'peggedUSD': 0},{'peggedUSD': 97967.11},{'peggedUSD': 0},{'peggedUSD': 97967.11}
1662595200,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98473.19},{'peggedUSD': 0},{'peggedUSD': 98473.19}
1662681600,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98473.48}
1662768000,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98478.33},{'peggedUSD': 0},{'peggedUSD': 98478.33}
1662854400,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98471.61},{'peggedUSD': 0},{'peggedUSD': 98471.61}
1662940800,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98474.19},{'peggedUSD': 0},{'peggedUSD': 98474.19}
1663027200,{'peggedUSD': 98473.48},{'peggedUSD': 0},{'peggedUSD': 98464.42},{'peggedUSD': 0},{'peggedUSD': 98464.42}
1663113600,{'peggedUSD': 95473.48},{'peggedUSD': 0},{'peggedUSD': 95469.01},{'peggedUSD': 0},{'peggedUSD': 95469.01}
1663200000,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95662.86}
1663286400,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95664.23},{'peggedUSD': 0},{'peggedUSD': 95664.23}
1663372800,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95666.41},{'peggedUSD': 0},{'peggedUSD': 95666.41}
1663459200,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95671.1},{'peggedUSD': 0},{'peggedUSD': 95671.1}
1663545600,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95666.41},{'peggedUSD': 0},{'peggedUSD': 95666.41}
1663632000,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95661.85},{'peggedUSD': 0},{'peggedUSD': 95661.85}
1663718400,{'peggedUSD': 95662.86},{'peggedUSD': 0},{'peggedUSD': 95658},{'peggedUSD': 0},{'peggedUSD': 95658}
1663804800,{'peggedUSD': 95163.56},{'peggedUSD': 0},{'peggedUSD': 95172.6},{'peggedUSD': 0},{'peggedUSD': 95172.6}
1663891200,{'peggedUSD': 84286.12},{'peggedUSD': 0},{'peggedUSD': 84292.45},{'peggedUSD': 0},{'peggedUSD': 84292.45}
1663977600,{'peggedUSD': 84286.12},{'peggedUSD': 0},{'peggedUSD': 84288.97},{'peggedUSD': 0},{'peggedUSD': 84288.97}
1664064000,{'peggedUSD': 84286.12},{'peggedUSD': 0},{'peggedUSD': 84283.08},{'peggedUSD': 0},{'peggedUSD': 84283.08}
