date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1654128000,{'peggedUSD': 28931243.62},{'peggedUSD': 0},{'peggedUSD': 28938153.27},{'peggedUSD': 0},{'peggedUSD': 28938153.27}
1654214400,{'peggedUSD': 28930418.87},{'peggedUSD': 0},{'peggedUSD': 28950140.16},{'peggedUSD': 0},{'peggedUSD': 28950140.16}
1654300800,{'peggedUSD': 28930418.87},{'peggedUSD': 0},{'peggedUSD': 28939077.75},{'peggedUSD': 0},{'peggedUSD': 28939077.75}
1654387200,{'peggedUSD': 28930418.87},{'peggedUSD': 0},{'peggedUSD': 28936684.04},{'peggedUSD': 0},{'peggedUSD': 28936684.04}
1654473600,{'peggedUSD': 28932725.46},{'peggedUSD': 0},{'peggedUSD': 28944281.19},{'peggedUSD': 0},{'peggedUSD': 28944281.19}
1654560000,{'peggedUSD': 29932716.36},{'peggedUSD': 0},{'peggedUSD': 29942528.31},{'peggedUSD': 0},{'peggedUSD': 29942528.31}
1654646400,{'peggedUSD': 29932716.36},{'peggedUSD': 0},{'peggedUSD': 29942528.31},{'peggedUSD': 0},{'peggedUSD': 29942528.31}
1654732800,{'peggedUSD': 29932734},{'peggedUSD': 0},{'peggedUSD': 29950644.85},{'peggedUSD': 0},{'peggedUSD': 29950644.85}
1654819200,{'peggedUSD': 29221104.79},{'peggedUSD': 0},{'peggedUSD': 29249041.92},{'peggedUSD': 0},{'peggedUSD': 29249041.92}
1654905600,{'peggedUSD': 29224204.79},{'peggedUSD': 0},{'peggedUSD': 29238816.89},{'peggedUSD': 0},{'peggedUSD': 29238816.89}
1654992000,{'peggedUSD': 29159338.53},{'peggedUSD': 0},{'peggedUSD': 29171700.92},{'peggedUSD': 0},{'peggedUSD': 29171700.92}
1655078400,{'peggedUSD': 29159338.53},{'peggedUSD': 0},{'peggedUSD': 29180230.61},{'peggedUSD': 0},{'peggedUSD': 29180230.61}
1655164800,{'peggedUSD': 28163874.95},{'peggedUSD': 0},{'peggedUSD': 28173788.63},{'peggedUSD': 0},{'peggedUSD': 28173788.63}
1655251200,{'peggedUSD': 28163881.95},{'peggedUSD': 0},{'peggedUSD': 28174805.87},{'peggedUSD': 0},{'peggedUSD': 28174805.87}
1655337600,{'peggedUSD': 28163881.95},{'peggedUSD': 0},{'peggedUSD': 28178301.85},{'peggedUSD': 0},{'peggedUSD': 28178301.85}
1655424000,{'peggedUSD': 28165596.74},{'peggedUSD': 0},{'peggedUSD': 28193579.26},{'peggedUSD': 0},{'peggedUSD': 28193579.26}
1655510400,{'peggedUSD': 29165586.74},{'peggedUSD': 0},{'peggedUSD': 29177839.78},{'peggedUSD': 0},{'peggedUSD': 29177839.78}
1655596800,{'peggedUSD': 29172449.4},{'peggedUSD': 0},{'peggedUSD': 29180008.57},{'peggedUSD': 0},{'peggedUSD': 29180008.57}
1655683200,{'peggedUSD': 29218069.52},{'peggedUSD': 0},{'peggedUSD': 29235518.55},{'peggedUSD': 0},{'peggedUSD': 29235518.55}
1655769600,{'peggedUSD': 29218069.52},{'peggedUSD': 0},{'peggedUSD': 29219795.14},{'peggedUSD': 0},{'peggedUSD': 29219795.14}
1655856000,{'peggedUSD': 29236585.33},{'peggedUSD': 0},{'peggedUSD': 29240916.44},{'peggedUSD': 0},{'peggedUSD': 29240916.44}
1655942400,{'peggedUSD': 29236587.37},{'peggedUSD': 0},{'peggedUSD': 29258923.54},{'peggedUSD': 0},{'peggedUSD': 29258923.54}
1656028800,{'peggedUSD': 29236587.37},{'peggedUSD': 0},{'peggedUSD': 29236908.97},{'peggedUSD': 0},{'peggedUSD': 29236908.97}
1656115200,{'peggedUSD': 29236978.88},{'peggedUSD': 0},{'peggedUSD': 29236766.62},{'peggedUSD': 0},{'peggedUSD': 29236766.62}
1656201600,{'peggedUSD': 29236978.88},{'peggedUSD': 0},{'peggedUSD': 29245729.51},{'peggedUSD': 0},{'peggedUSD': 29245729.51}
1656288000,{'peggedUSD': 29236978.88},{'peggedUSD': 0},{'peggedUSD': 29242795.57},{'peggedUSD': 0},{'peggedUSD': 29242795.57}
1656374400,{'peggedUSD': 29236978.88},{'peggedUSD': 0},{'peggedUSD': 29244129.66},{'peggedUSD': 0},{'peggedUSD': 29244129.66}
1656460800,{'peggedUSD': 29236978.88},{'peggedUSD': 0},{'peggedUSD': 29247727.27},{'peggedUSD': 0},{'peggedUSD': 29247727.27}
1656547200,{'peggedUSD': 29196521.88},{'peggedUSD': 0},{'peggedUSD': 29200756.25},{'peggedUSD': 0},{'peggedUSD': 29200756.25}
1656633600,{'peggedUSD': 29196521.88},{'peggedUSD': 0},{'peggedUSD': 29224960.17},{'peggedUSD': 0},{'peggedUSD': 29224960.17}
1656720000,{'peggedUSD': 29167415.74},{'peggedUSD': 0},{'peggedUSD': 29187927.72},{'peggedUSD': 0},{'peggedUSD': 29187927.72}
1656806400,{'peggedUSD': 29168388.72},{'peggedUSD': 0},{'peggedUSD': 29181700.88},{'peggedUSD': 0},{'peggedUSD': 29181700.88}
1656892800,{'peggedUSD': 29173467.58},{'peggedUSD': 0},{'peggedUSD': 29178961.81},{'peggedUSD': 0},{'peggedUSD': 29178961.81}
1656979200,{'peggedUSD': 29173469.58},{'peggedUSD': 0},{'peggedUSD': 29173469.58},{'peggedUSD': 0},{'peggedUSD': 29173469.58}
1657065600,{'peggedUSD': 29173469.58},{'peggedUSD': 0},{'peggedUSD': 29188982.28},{'peggedUSD': 0},{'peggedUSD': 29188982.28}
1657152000,{'peggedUSD': 29173469.58},{'peggedUSD': 0},{'peggedUSD': 29194639.01},{'peggedUSD': 0},{'peggedUSD': 29194639.01}
1657238400,{'peggedUSD': 29173793.24},{'peggedUSD': 0},{'peggedUSD': 29182021.42},{'peggedUSD': 0},{'peggedUSD': 29182021.42}
1657324800,{'peggedUSD': 29177461.1},{'peggedUSD': 0},{'peggedUSD': 29182303.1},{'peggedUSD': 0},{'peggedUSD': 29182303.1}
1657411200,{'peggedUSD': 29177790.1},{'peggedUSD': 0},{'peggedUSD': 29177790.1},{'peggedUSD': 0},{'peggedUSD': 29177790.1}
1657497600,{'peggedUSD': 29177790.1},{'peggedUSD': 0},{'peggedUSD': 29189443.71},{'peggedUSD': 0},{'peggedUSD': 29189443.71}
1657584000,{'peggedUSD': 29177790.1},{'peggedUSD': 0},{'peggedUSD': 29189443.71},{'peggedUSD': 0},{'peggedUSD': 29189443.71}
1657670400,{'peggedUSD': 29179038.91},{'peggedUSD': 0},{'peggedUSD': 29198046.14},{'peggedUSD': 0},{'peggedUSD': 29198046.14}
1657756800,{'peggedUSD': 29178065.42},{'peggedUSD': 0},{'peggedUSD': 29175148.19},{'peggedUSD': 0},{'peggedUSD': 29175148.19}
1657843200,{'peggedUSD': 29178074.92},{'peggedUSD': 0},{'peggedUSD': 29178681.54},{'peggedUSD': 0},{'peggedUSD': 29178681.54}
1657929600,{'peggedUSD': 29178076.92},{'peggedUSD': 0},{'peggedUSD': 29178683.54},{'peggedUSD': 0},{'peggedUSD': 29178683.54}
1658016000,{'peggedUSD': 29178076.92},{'peggedUSD': 0},{'peggedUSD': 29178888.37},{'peggedUSD': 0},{'peggedUSD': 29178888.37}
1658102400,{'peggedUSD': 29178076.92},{'peggedUSD': 0},{'peggedUSD': 29173656.15},{'peggedUSD': 0},{'peggedUSD': 29173656.15}
1658188800,{'peggedUSD': 29375024.42},{'peggedUSD': 0},{'peggedUSD': 29368346.6},{'peggedUSD': 0},{'peggedUSD': 29368346.6}
1658275200,{'peggedUSD': 29419271.27},{'peggedUSD': 0},{'peggedUSD': 29416329.35},{'peggedUSD': 0},{'peggedUSD': 29416329.35}
1658361600,{'peggedUSD': 29419683.27},{'peggedUSD': 0},{'peggedUSD': 29426893.74},{'peggedUSD': 0},{'peggedUSD': 29426893.74}
1658448000,{'peggedUSD': 29429683.27},{'peggedUSD': 0},{'peggedUSD': 29436929.45},{'peggedUSD': 0},{'peggedUSD': 29436929.45}
1658534400,{'peggedUSD': 29429430.17},{'peggedUSD': 0},{'peggedUSD': 29432194.48},{'peggedUSD': 0},{'peggedUSD': 29432194.48}
1658620800,{'peggedUSD': 29429430.17},{'peggedUSD': 0},{'peggedUSD': 29431961.4},{'peggedUSD': 0},{'peggedUSD': 29431961.4}
1658707200,{'peggedUSD': 29427133.49},{'peggedUSD': 0},{'peggedUSD': 29429822.25},{'peggedUSD': 0},{'peggedUSD': 29429822.25}
1658793600,{'peggedUSD': 29677029.11},{'peggedUSD': 0},{'peggedUSD': 29677029.11},{'peggedUSD': 0},{'peggedUSD': 29677029.11}
1658880000,{'peggedUSD': 29452814.45},{'peggedUSD': 0},{'peggedUSD': 29463764.42},{'peggedUSD': 0},{'peggedUSD': 29463764.42}
1658966400,{'peggedUSD': 29452814.45},{'peggedUSD': 0},{'peggedUSD': 29453395.56},{'peggedUSD': 0},{'peggedUSD': 29453395.56}
1659052800,{'peggedUSD': 29459802.54},{'peggedUSD': 0},{'peggedUSD': 29461219.56},{'peggedUSD': 0},{'peggedUSD': 29461219.56}
1659139200,{'peggedUSD': 29512772},{'peggedUSD': 0},{'peggedUSD': 29512960.3},{'peggedUSD': 0},{'peggedUSD': 29512960.3}
1659225600,{'peggedUSD': 29512772},{'peggedUSD': 0},{'peggedUSD': 29512772},{'peggedUSD': 0},{'peggedUSD': 29512772}
1659312000,{'peggedUSD': 29500393},{'peggedUSD': 0},{'peggedUSD': 29501010.15},{'peggedUSD': 0},{'peggedUSD': 29501010.15}
1659398400,{'peggedUSD': 29498524.31},{'peggedUSD': 0},{'peggedUSD': 29495293.93},{'peggedUSD': 0},{'peggedUSD': 29495293.93}
1659484800,{'peggedUSD': 29445544.92},{'peggedUSD': 0},{'peggedUSD': 29448111.1},{'peggedUSD': 0},{'peggedUSD': 29448111.1}
1659571200,{'peggedUSD': 29445544.92},{'peggedUSD': 0},{'peggedUSD': 29463507.29},{'peggedUSD': 0},{'peggedUSD': 29463507.29}
1659657600,{'peggedUSD': 29445803.36},{'peggedUSD': 0},{'peggedUSD': 29446669.07},{'peggedUSD': 0},{'peggedUSD': 29446669.07}
1659744000,{'peggedUSD': 29445357.98},{'peggedUSD': 0},{'peggedUSD': 29445820.86},{'peggedUSD': 0},{'peggedUSD': 29445820.86}
1659830400,{'peggedUSD': 29445357.98},{'peggedUSD': 0},{'peggedUSD': 29445820.86},{'peggedUSD': 0},{'peggedUSD': 29445820.86}
1659916800,{'peggedUSD': 29446357.98},{'peggedUSD': 0},{'peggedUSD': 29447649.49},{'peggedUSD': 0},{'peggedUSD': 29447649.49}
1660003200,{'peggedUSD': 29446357.98},{'peggedUSD': 0},{'peggedUSD': 29444630.95},{'peggedUSD': 0},{'peggedUSD': 29444630.95}
1660089600,{'peggedUSD': 29444408.74},{'peggedUSD': 0},{'peggedUSD': 29442936.52},{'peggedUSD': 0},{'peggedUSD': 29442936.52}
1660176000,{'peggedUSD': 29419742.3},{'peggedUSD': 0},{'peggedUSD': 29416800.33},{'peggedUSD': 0},{'peggedUSD': 29416800.33}
1660262400,{'peggedUSD': 29419742.3},{'peggedUSD': 0},{'peggedUSD': 29418848.23},{'peggedUSD': 0},{'peggedUSD': 29418848.23}
1660348800,{'peggedUSD': 29418526.61},{'peggedUSD': 0},{'peggedUSD': 29418531.61},{'peggedUSD': 0},{'peggedUSD': 29418531.61}
1660435200,{'peggedUSD': 29421992.68},{'peggedUSD': 0},{'peggedUSD': 29421992.68},{'peggedUSD': 0},{'peggedUSD': 29421992.68}
1660521600,{'peggedUSD': 29423560.15},{'peggedUSD': 0},{'peggedUSD': 29419260.49},{'peggedUSD': 0},{'peggedUSD': 29419260.49}
1660608000,{'peggedUSD': 29408505.78},{'peggedUSD': 0},{'peggedUSD': 29405395.53},{'peggedUSD': 0},{'peggedUSD': 29405395.53}
1660694400,{'peggedUSD': 29411073.31},{'peggedUSD': 0},{'peggedUSD': 29416347.6},{'peggedUSD': 0},{'peggedUSD': 29416347.6}
1660780800,{'peggedUSD': 29411073.31},{'peggedUSD': 0},{'peggedUSD': 29413192.08},{'peggedUSD': 0},{'peggedUSD': 29413192.08}
1660867200,{'peggedUSD': 29411782},{'peggedUSD': 0},{'peggedUSD': 29411782},{'peggedUSD': 0},{'peggedUSD': 29411782}
1660953600,{'peggedUSD': 29411782},{'peggedUSD': 0},{'peggedUSD': 29412484.36},{'peggedUSD': 0},{'peggedUSD': 29412484.36}
1661040000,{'peggedUSD': 29412625.82},{'peggedUSD': 0},{'peggedUSD': 29412788.77},{'peggedUSD': 0},{'peggedUSD': 29412788.77}
1661126400,{'peggedUSD': 29336359.91},{'peggedUSD': 0},{'peggedUSD': 29333656.57},{'peggedUSD': 0},{'peggedUSD': 29333656.57}
1661212800,{'peggedUSD': 29336364.91},{'peggedUSD': 0},{'peggedUSD': 29338052.93},{'peggedUSD': 0},{'peggedUSD': 29338052.93}
1661299200,{'peggedUSD': 29338028.7},{'peggedUSD': 0},{'peggedUSD': 29338028.7},{'peggedUSD': 0},{'peggedUSD': 29338028.7}
1661385600,{'peggedUSD': 29338281.31},{'peggedUSD': 0},{'peggedUSD': 29342086.48},{'peggedUSD': 0},{'peggedUSD': 29342086.48}
1661472000,{'peggedUSD': 29338281.31},{'peggedUSD': 0},{'peggedUSD': 29337798.11},{'peggedUSD': 0},{'peggedUSD': 29337798.11}
1661558400,{'peggedUSD': 29338281.31},{'peggedUSD': 0},{'peggedUSD': 29337071.1},{'peggedUSD': 0},{'peggedUSD': 29337071.1}
1661644800,{'peggedUSD': 29338281.31},{'peggedUSD': 0},{'peggedUSD': 29340980.14},{'peggedUSD': 0},{'peggedUSD': 29340980.14}
1661731200,{'peggedUSD': 29337830.07},{'peggedUSD': 0},{'peggedUSD': 29338539.16},{'peggedUSD': 0},{'peggedUSD': 29338539.16}
1661817600,{'peggedUSD': 29337830.07},{'peggedUSD': 0},{'peggedUSD': 29337594.19},{'peggedUSD': 0},{'peggedUSD': 29337594.19}
1661904000,{'peggedUSD': 29337830.07},{'peggedUSD': 0},{'peggedUSD': 29339231.83},{'peggedUSD': 0},{'peggedUSD': 29339231.83}
1661990400,{'peggedUSD': 29337861.85},{'peggedUSD': 0},{'peggedUSD': 29337962.47},{'peggedUSD': 0},{'peggedUSD': 29337962.47}
1662076800,{'peggedUSD': 29337861.85},{'peggedUSD': 0},{'peggedUSD': 29337861.85},{'peggedUSD': 0},{'peggedUSD': 29337861.85}
1662163200,{'peggedUSD': 29337881.85},{'peggedUSD': 0},{'peggedUSD': 29337881.85},{'peggedUSD': 0},{'peggedUSD': 29337881.85}
1662249600,{'peggedUSD': 29342881.85},{'peggedUSD': 0},{'peggedUSD': 29342881.85},{'peggedUSD': 0},{'peggedUSD': 29342881.85}
1662336000,{'peggedUSD': 29344312.97},{'peggedUSD': 0},{'peggedUSD': 29355091.13},{'peggedUSD': 0},{'peggedUSD': 29355091.13}
1662422400,{'peggedUSD': 29347747.98},{'peggedUSD': 0},{'peggedUSD': 29345165.96},{'peggedUSD': 0},{'peggedUSD': 29345165.96}
1662508800,{'peggedUSD': 29347747.98},{'peggedUSD': 0},{'peggedUSD': 29346954.71},{'peggedUSD': 0},{'peggedUSD': 29346954.71}
1662595200,{'peggedUSD': 29349135.88},{'peggedUSD': 0},{'peggedUSD': 29349047.83},{'peggedUSD': 0},{'peggedUSD': 29349047.83}
1662681600,{'peggedUSD': 29349137.88},{'peggedUSD': 0},{'peggedUSD': 29349137.88},{'peggedUSD': 0},{'peggedUSD': 29349137.88}
1662768000,{'peggedUSD': 29355178.81},{'peggedUSD': 0},{'peggedUSD': 29356622.79},{'peggedUSD': 0},{'peggedUSD': 29356622.79}
1662854400,{'peggedUSD': 29355178.81},{'peggedUSD': 0},{'peggedUSD': 29354619.01},{'peggedUSD': 0},{'peggedUSD': 29354619.01}
1662940800,{'peggedUSD': 29355178.81},{'peggedUSD': 0},{'peggedUSD': 29355388.11},{'peggedUSD': 0},{'peggedUSD': 29355388.11}
1663027200,{'peggedUSD': 29355178.81},{'peggedUSD': 0},{'peggedUSD': 29352478.13},{'peggedUSD': 0},{'peggedUSD': 29352478.13}
1663113600,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29355481.14},{'peggedUSD': 0},{'peggedUSD': 29355481.14}
1663200000,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29356855.63}
1663286400,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29357276.9},{'peggedUSD': 0},{'peggedUSD': 29357276.9}
1663372800,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29357943.89},{'peggedUSD': 0},{'peggedUSD': 29357943.89}
1663459200,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29359383.55},{'peggedUSD': 0},{'peggedUSD': 29359383.55}
1663545600,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29357943.89},{'peggedUSD': 0},{'peggedUSD': 29357943.89}
1663632000,{'peggedUSD': 29356855.63},{'peggedUSD': 0},{'peggedUSD': 29356545.33},{'peggedUSD': 0},{'peggedUSD': 29356545.33}
1663718400,{'peggedUSD': 29356865.63},{'peggedUSD': 0},{'peggedUSD': 29355374.89},{'peggedUSD': 0},{'peggedUSD': 29355374.89}
1663804800,{'peggedUSD': 29356865.63},{'peggedUSD': 0},{'peggedUSD': 29359652.48},{'peggedUSD': 0},{'peggedUSD': 29359652.48}
1663891200,{'peggedUSD': 29356865.63},{'peggedUSD': 0},{'peggedUSD': 29359070.04},{'peggedUSD': 0},{'peggedUSD': 29359070.04}
1663977600,{'peggedUSD': 29356865.63},{'peggedUSD': 0},{'peggedUSD': 29357859.65},{'peggedUSD': 0},{'peggedUSD': 29357859.65}
1664064000,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29355437.81},{'peggedUSD': 0},{'peggedUSD': 29355437.81}
1664150400,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356066.92},{'peggedUSD': 0},{'peggedUSD': 29356066.92}
1664236800,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29364117.06},{'peggedUSD': 0},{'peggedUSD': 29364117.06}
1664323200,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357655.69},{'peggedUSD': 0},{'peggedUSD': 29357655.69}
1664409600,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29359143.48},{'peggedUSD': 0},{'peggedUSD': 29359143.48}
1664496000,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29359139.96},{'peggedUSD': 0},{'peggedUSD': 29359139.96}
1664582400,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356320.56},{'peggedUSD': 0},{'peggedUSD': 29356320.56}
1664668800,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23}
1664755200,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357676.54},{'peggedUSD': 0},{'peggedUSD': 29357676.54}
1664841600,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357133.15},{'peggedUSD': 0},{'peggedUSD': 29357133.15}
1664928000,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29354043.67},{'peggedUSD': 0},{'peggedUSD': 29354043.67}
1665014400,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29355586.35},{'peggedUSD': 0},{'peggedUSD': 29355586.35}
1665100800,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23}
1665187200,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29353559.58},{'peggedUSD': 0},{'peggedUSD': 29353559.58}
1665273600,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357842.11},{'peggedUSD': 0},{'peggedUSD': 29357842.11}
1665360000,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357106.43},{'peggedUSD': 0},{'peggedUSD': 29357106.43}
1665446400,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29357524.47},{'peggedUSD': 0},{'peggedUSD': 29357524.47}
1665532800,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29355197.38},{'peggedUSD': 0},{'peggedUSD': 29355197.38}
1665619200,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23}
1665705600,{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23},{'peggedUSD': 0},{'peggedUSD': 29356495.23}
1665792000,{'peggedUSD': 29356015.48},{'peggedUSD': 0},{'peggedUSD': 29353916.82},{'peggedUSD': 0},{'peggedUSD': 29353916.82}
1665878400,{'peggedUSD': 29355372.04},{'peggedUSD': 0},{'peggedUSD': 29354609.38},{'peggedUSD': 0},{'peggedUSD': 29354609.38}
1665964800,{'peggedUSD': 29355372.04},{'peggedUSD': 0},{'peggedUSD': 29355260.49},{'peggedUSD': 0},{'peggedUSD': 29355260.49}
1666051200,{'peggedUSD': 29355372.04},{'peggedUSD': 0},{'peggedUSD': 29356507.5},{'peggedUSD': 0},{'peggedUSD': 29356507.5}
1666137600,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350450.2},{'peggedUSD': 0},{'peggedUSD': 29350450.2}
1666224000,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29351982.01},{'peggedUSD': 0},{'peggedUSD': 29351982.01}
1666310400,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350807.4},{'peggedUSD': 0},{'peggedUSD': 29350807.4}
1666396800,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29355662.88},{'peggedUSD': 0},{'peggedUSD': 29355662.88}
1666483200,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12}
1666569600,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29347928.09},{'peggedUSD': 0},{'peggedUSD': 29347928.09}
1666656000,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350905.13},{'peggedUSD': 0},{'peggedUSD': 29350905.13}
1666742400,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29351119.69},{'peggedUSD': 0},{'peggedUSD': 29351119.69}
1666828800,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12}
1666915200,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29348204.28},{'peggedUSD': 0},{'peggedUSD': 29348204.28}
1667001600,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29349110.05},{'peggedUSD': 0},{'peggedUSD': 29349110.05}
1667088000,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29349544.44},{'peggedUSD': 0},{'peggedUSD': 29349544.44}
1667174400,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29349754},{'peggedUSD': 0},{'peggedUSD': 29349754}
1667260800,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350684.12}
1667347200,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29349095.66},{'peggedUSD': 0},{'peggedUSD': 29349095.66}
1667433600,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29351362.42},{'peggedUSD': 0},{'peggedUSD': 29351362.42}
1667520000,{'peggedUSD': 29350684.12},{'peggedUSD': 0},{'peggedUSD': 29350747.52},{'peggedUSD': 0},{'peggedUSD': 29350747.52}
1667606400,{'peggedUSD': 29350704.12},{'peggedUSD': 0},{'peggedUSD': 29350725.55},{'peggedUSD': 0},{'peggedUSD': 29350725.55}
1667692800,{'peggedUSD': 29350437.36},{'peggedUSD': 0},{'peggedUSD': 29353302.55},{'peggedUSD': 0},{'peggedUSD': 29353302.55}
1667779200,{'peggedUSD': 29350437.36},{'peggedUSD': 0},{'peggedUSD': 29350046.12},{'peggedUSD': 0},{'peggedUSD': 29350046.12}
1667865600,{'peggedUSD': 29350104.47},{'peggedUSD': 0},{'peggedUSD': 29352476.25},{'peggedUSD': 0},{'peggedUSD': 29352476.25}
1667952000,{'peggedUSD': 29350104.47},{'peggedUSD': 0},{'peggedUSD': 29352631.8},{'peggedUSD': 0},{'peggedUSD': 29352631.8}
1668038400,{'peggedUSD': 29349844.47},{'peggedUSD': 0},{'peggedUSD': 29385198.11},{'peggedUSD': 0},{'peggedUSD': 29385198.11}
1668124800,{'peggedUSD': 29113540.44},{'peggedUSD': 0},{'peggedUSD': 29108665.09},{'peggedUSD': 0},{'peggedUSD': 29108665.09}
1668211200,{'peggedUSD': 29113300.44},{'peggedUSD': 0},{'peggedUSD': 29143280.16},{'peggedUSD': 0},{'peggedUSD': 29143280.16}
1668297600,{'peggedUSD': 29113300.44},{'peggedUSD': 0},{'peggedUSD': 29122125.27},{'peggedUSD': 0},{'peggedUSD': 29122125.27}
1668384000,{'peggedUSD': 29105086.1},{'peggedUSD': 0},{'peggedUSD': 29117143.76},{'peggedUSD': 0},{'peggedUSD': 29117143.76}
1668470400,{'peggedUSD': 29074964.48},{'peggedUSD': 0},{'peggedUSD': 29083323.53},{'peggedUSD': 0},{'peggedUSD': 29083323.53}
1668556800,{'peggedUSD': 29074997.26},{'peggedUSD': 0},{'peggedUSD': 29083487.45},{'peggedUSD': 0},{'peggedUSD': 29083487.45}
1668643200,{'peggedUSD': 29074997.26},{'peggedUSD': 0},{'peggedUSD': 29077395.37},{'peggedUSD': 0},{'peggedUSD': 29077395.37}
1668729600,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29074929.03},{'peggedUSD': 0},{'peggedUSD': 29074929.03}
1668816000,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29074959.26}
1668902400,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29077483.55},{'peggedUSD': 0},{'peggedUSD': 29077483.55}
1668988800,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29080195.37},{'peggedUSD': 0},{'peggedUSD': 29080195.37}
1669075200,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29082802.52},{'peggedUSD': 0},{'peggedUSD': 29082802.52}
1669161600,{'peggedUSD': 29074959.26},{'peggedUSD': 0},{'peggedUSD': 29073801.5},{'peggedUSD': 0},{'peggedUSD': 29073801.5}
1669248000,{'peggedUSD': 29074964.79},{'peggedUSD': 0},{'peggedUSD': 29071248.43},{'peggedUSD': 0},{'peggedUSD': 29071248.43}
1669334400,{'peggedUSD': 29065126.25},{'peggedUSD': 0},{'peggedUSD': 29065686.34},{'peggedUSD': 0},{'peggedUSD': 29065686.34}
1669420800,{'peggedUSD': 29065126.25},{'peggedUSD': 0},{'peggedUSD': 29070042.91},{'peggedUSD': 0},{'peggedUSD': 29070042.91}
1669507200,{'peggedUSD': 29063747.25},{'peggedUSD': 0},{'peggedUSD': 29061591.59},{'peggedUSD': 0},{'peggedUSD': 29061591.59}
